m/z,RT [min],Name,Tags,Formula,MS/MS Verified,Annot. Source: mzCloud Search,Annot. Source: mzVault Search,Annot. Source: ChemSpider Search,Annot. Source: MassList Search,Annot. DeltaMass [ppm],Calc. MW,Area (Max.),Mass List Match: Endogenous Metabolites database 4400 compounds,Mass List Match: CD_MassList_RP_V1,MS2,Reference Ion,Blank 01,Blank 02,QC 01 RP Pos,QC 02 RP Pos,Foston_In_1-A_Met_LC_RP_Pos(F3),Foston_In_1-B_Met_LC_RP_Pos(F4),Foston_In_1-C_Met_LC_RP_Pos(F5),Foston_In_1-D_Met_LC_RP_Pos(F6),Foston_In_1-E_Met_LC_RP_Pos(F7),Foston_In_1-F_Met_LC_RP_Pos(F8),Foston_In_1-G_Met_LC_RP_Pos(F9),Foston_In_1-H_Met_LC_RP_Pos(F10),Foston_In_1-I_Met_LC_RP_Pos(F11),Foston_In_1-J_Met_LC_RP_Pos(F12),Foston_In_1-K_Met_LC_RP_Pos(F13),Foston_In_1-L_Met_LC_RP_Pos(F14),Foston_In_4-A_Met_LC_RP_Pos(F15),Foston_In_4-B_Met_LC_RP_Pos(F16),Foston_In_4-C_Met_LC_RP_Pos(F17),Foston_In_4-D_Met_LC_RP_Pos(F18),Foston_In_4-E_Met_LC_RP_Pos(F19),Foston_In_4-F_Met_LC_RP_Pos(F20),Foston_In_4-G_Met_LC_RP_Pos(F21),Foston_In_4-H_Met_LC_RP_Pos(F22),Foston_In_4-I_Met_LC_RP_Pos(F23),Foston_In_4-J_Met_LC_RP_Pos(F24),Foston_In_4-K_Met_LC_RP_Pos(F25),Foston_In_4-L_Met_LC_RP_Pos(F26)
136.06147,1.126,Adenine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H5 N5,,Full match,No results,Partial match,Full match,-2.26,135.05419,9772577.318,Single match found,Single match found,DDA for preferred ion,[M+H]+1,48423.89226,42886.46435,199432.1424,187544.0029,4921312.778,6162439.721,5989171.695,7241382.9,7033044.498,2383372.305,8054841.119,9772577.318,7394122.805,6512186.025,9087569.158,6064542.469,2489750.191,2341328.341,5365319.566,1906741.988,4789249.219,5104529.862,3591857.758,2413483.155,2807052.431,3491039.374,2611452.62,6309097.18
428.03599,1.167,"Adenosine 3',5'-bisphosphate","Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C10 H15 N5 O10 P2,,Partial match,No results,Not the top hit,Full match,-1.62,427.02872,33148590.7,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,24232.45889,23940.51792,74482.46346,61116.87617,21554070.27,17743396.55,18124645.31,27601230.79,29660017.84,27368373.04,32376975.08,30054094.94,25910256.69,33148590.7,24396011.04,28878119.8,19852031.1,24003652.38,14236979.89,12269815.86,12188265.02,15400804.33,8153135.283,6498825.927,7172243.378,14745300.56,17949576.88,17930272.64
348.06932,1.009,Adenosine5'-monophosphate (5'-AMP),"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C10 H14 N5 O7 P,,Partial match,No results,Partial match,Full match,-3,347.06204,52472284.36,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,14638.73891,13912.99684,258459.1537,251359.4344,13102577.49,20253394.26,19669150.31,19976426.15,23982437.35,27093862.32,47259138.95,52472284.36,44230136.52,35578840.04,25247719.88,22594489,18206723.7,25125367.31,25164965.29,13167850.79,11777880.95,18186973.38,10958004.37,7611586.091,8860662.851,21151842.55,20287268.84,22338658.82
107.04894,5.65,Benzaldehyde,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C7 H6 O,,No results,No results,Full match,Full match,-1.86,106.04167,4663570.588,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,9705.69485,10008.52667,4391838.864,4663570.588,439241.7431,374462.5322,460093.2191,313143.1838,449639.5112,287167.9985,258320.207,263497.4614,239658.0382,269262.082,251697.7371,322881.5402,266866.5063,288024.3115,292237.3804,357843.0134,402467.9432,280243.9437,367864.3909,371787.7368,287737.4666,303706.7071,318807.1131,305886.5519
118.08604,0.811,Betaine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H11 N O2,,Full match,No results,Partial match,Full match,-1.87,117.07876,639031371.1,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,4089705.317,6185728.157,3053657.795,3273742.511,505553633.6,456863475.9,504040636,604495958.9,639031371.1,10140315.83,8449226.092,10100179.04,5894432.842,6205908.979,9061515.25,9777993.482,5236091.446,5704366.795,9820502.392,5718427.01,9881161.723,5824932.814,5488542.57,9625858.419,5439170.772,5926648.253,222607147.2,5831890.049
245.09504,4.906,Biotin,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C10 H16 N2 O3 S,,Full match,No results,Full match,Full match,-1.64,244.08776,1824950.169,Single match found,Single match found,DDA for preferred ion,[M+H]+1,11520.79974,11848.56654,15277.58212,15604.22079,13573.41286,13809.49223,13553.47962,522051.693,427281.4548,256468.7842,514220.6512,50125.45746,92505.47712,647929.3377,13098.26586,67182.01273,1547166.372,1824950.169,1473044.152,558649.8921,575542.6373,583430.99,148599.7865,131202.1188,97527.98236,12581.94132,12681.54021,12858.81693
328.12032,8.968,Brassinazole,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C18 H18 Cl N3 O,,No results,No results,Partial match,Full match,-2.45,327.11304,9596648142,No matches found,Single match found,DDA for preferred ion,[M+H]+1,290540.3112,1610937.014,9563260037,9596648142,1136870.26,801430.224,759576.1079,940519.8305,2902598.089,1056920.734,1877556.501,1047126.367,782851.3311,1395841.312,750593.4284,894160.8068,745286.8122,683690.3051,1345517.182,2255781.52,846039.9228,606328.1952,748540.7888,962629.7717,792784.021,613678.3334,597692.6761,730672.5692
355.10151,3.023,Chlorogenic acid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C16 H18 O9,,Not the top hit,No results,Full match,Full match,-2.41,354.09423,837163179.5,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,30544.95261,70183.54122,837163179.5,777800868.9,46748.40298,49378.79179,44452.86367,40610.01759,340576.6486,36857.06508,33429.93956,32651.97397,33316.41427,32856.80752,33136.28281,33036.26553,32664.09967,33792.69848,33720.88789,33708.54789,33362.26816,33055.22499,33172.62873,33253.08117,33418.37665,32524.34413,32353.02749,33294.2501
400.17442,6.602,Colchicine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C22 H25 N O6,,Full match,No results,Full match,No results,-2.63,399.16714,6275757074,No matches found,No matches found,DDA for preferred ion,[M+H]+1,406657.6913,1495002.452,5901480327,6275757074,301862.2572,356181.2583,165388.8817,244843.2008,1263780.585,342943.6475,971923.2546,613583.9328,176453.5262,321758.5339,191206.4843,180945.368,201887.869,177668.5521,264150.3714,749943.1083,140938.6544,94232.64507,163011.3697,144969.7755,90110.12759,119088.9035,150085.9363,142113.0331
244.09203,0.915,Cytidine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C9 H13 N3 O5,,Partial match,No results,Partial match,Full match,-3.17,243.08475,1247631697,Single match found,Single match found,DDA for preferred ion,[M+H]+1,1666716.85,1272584.449,1247631697,1174016851,31328.42974,113028.7615,23042.47673,177273.9335,320950.6567,205009.0746,98979.10357,74552.45229,13080.94755,14299.81044,12023.42835,11890.95272,12148.96632,42256.52063,10980.62017,12107.65308,42073.77341,11902.48675,11649.0394,59752.43902,11290.15121,91886.20354,12688.34988,12043.53334
404.02479,1.152,Cytidine diphosphate (CDP),"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C9 H15 N3 O11 P2,,No results,No results,Full match,Full match,-1.66,403.01751,2320334.804,Single match found,Single match found,DDA for preferred ion,[M+H]+1,10371.676,10459.98537,30243.5137,28889.86557,876008.5857,628535.3029,811774.0416,1043437.861,1384274.722,1028246.206,1107515.429,1386047.855,1063803.106,2320334.804,956438.591,1389691.284,751960.7349,1676443.416,668471.9885,533892.9395,537072.8133,707399.7972,177185.6928,197332.8268,301718.0224,665770.4509,772142.8058,725575.4008
112.05024,0.936,Cytosine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C4 H5 N3 O,,Partial match,No results,Partial match,Full match,-2.72,111.04296,1489776476,Single match found,Single match found,DDA for preferred ion,[M+H]+1,1020627.694,1388693.728,1489776476,1471837642,3465896.359,2637745.042,2657521.775,2074137.797,4262944.885,2269294.619,7145178.882,6370903.975,6152920.21,2176413.045,2336277.379,5091392.829,744926.9555,2535494.249,2172441.281,3325483.272,2976267.04,3961362.96,2645372.059,2655350.423,2088956.472,5897785.855,5771239.451,6580343.264
412.04129,1.163,Deoxyadenosine diphosphate (dADP),"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C10 H15 N5 O9 P2,,Full match,No results,Full match,Full match,-1.18,411.03402,2358720.947,Single match found,Single match found,DDA for preferred ion,[M+H]+1,14994.11244,15121.77942,43722.40752,41765.46707,1077258.454,723162.1524,835455.9523,368427.1851,307188.8772,365087.236,2140072.764,1858085.752,2358720.947,695308.2383,1063604.262,841022.5265,258875.2751,437782.565,218029.9647,187643.8027,111698.3244,142708.6373,34922.3492,42160.88163,37910.87976,545574.6859,686895.7799,687426.6241
332.07436,0.99,Deoxyadenosine monophosphate (dAMP),"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C10 H14 N5 O6 P,,No results,No results,Full match,Full match,-3.27,331.06709,2664100.109,Single match found,Single match found,DDA for preferred ion,[M+H]+1,9338.005014,9539.448882,121481.3526,124763.278,1191066.367,1460286.668,850153.9063,262245.812,310457.1516,399241.2101,1915792.531,2308879.401,2664100.109,650994.2595,835854.7372,1018297.416,486294.9177,633688.7971,701618.5733,297549.5882,312520.0974,493685.5777,204120.2491,134929.8898,167411.2908,1059084.339,332152.6309,853310.4676
388.03003,1.155,Deoxycytidine 5'-diphosphate (dCDP),"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C9 H15 N3 O10 P2,,No results,No results,Partial match,Full match,-1.31,387.02276,3071031.546,Single match found,Single match found,DDA for preferred ion,[M+H]+1,15881.95995,17328.98274,46311.34574,44238.52883,617430.0416,526909.812,602072.3615,430468.9053,427527.7816,433244.4228,3071031.546,2296817.837,1897180.039,1368912.276,2363294.145,2232483.335,291423.8758,616491.4693,310887.51,252464.1409,323946.9613,202285.1401,210358.4718,232169.2992,206920.0153,1688661.176,1563639.64,2020361.825
215.13876,5.505,Dethiobiotin,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C10 H18 N2 O3,,Partial match,No results,Partial match,Full match,-1.22,214.13148,1313299.314,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,6353.879509,6566.325067,26588.72727,23337.71741,390702.5774,375665.3331,276890.3071,290442.5782,309982.8366,287711.4857,775396.9704,725469.4993,978413.9371,614683.1732,700031.2523,995673.4825,358670.8737,398986.842,295556.7806,744653.8782,716939.6204,606577.0803,1295432.121,1120199.644,820767.1833,851464.784,1313299.314,984109.3971
104.07027,0.969,Diacetyl,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C4 H6 O2,,Partial match,No results,Full match,Full match,-3.91,86.03644,1913499480,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+NH4]+1,4695512.054,4239020.496,1896319049,1913499480,6748877.331,6272308.397,5774968.804,21755419.07,30698674.27,17205564.45,5223035.15,3618172.207,3274457.608,11113144.04,7892753.538,10978673.91,2749858.557,3456607.017,2784098.76,5018364.339,5008518.027,4518429.585,2930180.14,3844433.97,2668232.259,5362461.707,6833981.521,4927663.432
175.11858,0.857,DL-Arginine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H14 N4 O2,,Full match,No results,Full match,Full match,-2.16,174.1113,118382636.6,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,62397.9394,7395.886117,174022.2039,437918.2675,13995240.25,15011077.8,16893976.19,35505790.1,42170574.45,30296164.92,26947194.43,12134340.62,20251888.72,61893705.79,118382636.6,100525624.7,23795859.23,28642605.01,23339370.29,50099952.87,42995154.75,44795647.07,46361161.92,40726100.8,40103623.09,97065109.56,101305561.9,86559705.4
134.04441,0.969,DL-Aspartic acid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C4 H7 N O4,,Full match,No results,Full match,Full match,-2.8,133.03713,231201582.4,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,285646.764,17543.0864,107713.7906,147672.8421,65428549.85,61510524.97,56838156.76,34197550.91,30682681.13,25188530.44,229124724.3,84501844.71,170151582.7,53469773.29,231201582.4,194932529.9,35162025.08,34871582.17,36293641.73,38780129.06,35538735.73,34813965.66,124402777,104580649.4,107527787.6,155013825.8,176396591.2,142409715.1
176.10218,0.949,DL-Citrulline,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H13 N3 O3,,Full match,No results,Full match,Full match,-4.5,175.0949,168629511.3,Single match found,Single match found,DDA for preferred ion,[M+H]+1,57864.83149,58363.5843,100302.3226,109817.38,156360574.3,149521859.4,168629511.3,47664419.2,59739798.9,37288769.62,38911417.72,37706526.77,34380070.19,154865408,48772628.02,72360485.09,46067926.92,41213001.87,45572810.35,143661872.8,133197047.5,144917630.1,98766818.61,88700361.25,80364077.05,13803674.3,18702355.6,13098428.35
170.01122,1.115,DL-Cysteic acid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C3 H7 N O5 S,,Full match,No results,Full match,Full match,-3.21,169.00395,7298781.127,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,213091.2419,160784.9533,1046777.299,586459.8563,1299545.448,1017749.475,1054825.062,452384.7922,649481.0877,440127.7918,1079971.015,1123006.154,619673.1721,2853141.521,908516.7346,1181856.386,447294.6262,523291.8425,448182.687,453212.9899,430976.5101,539789.249,6988835.331,7298781.127,5605568.403,1386905.363,989301.6458,1215710.498
148.05963,0.963,DL-Glutamic acid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H9 N O4,,Partial match,No results,Partial match,Full match,-4.92,147.05243,2194712719,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,2757535.632,85465.20841,25658478.13,23452345.24,1986552050,1974517876,1941917098,1818327537,1732037525,1873193451,1534478182,1602085867,1406678909,1340089736,1032820246,1027637497,2061493002,2093297766,2194712719,1746788746,1720948389,1792117006,1799608877,1614040222,1517946150,886248207.4,779229705.5,865347891.5
147.07587,0.95,DL-Glutamine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H10 N2 O3,,Full match,No results,Full match,Full match,-3.76,146.06859,783897805.8,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,3525449.153,2353283.408,783897805.8,760494937.1,595867186.7,621814122.3,703381087,167910900.2,113971903.3,130368220.5,454909904,559673349,459259822,4370622.663,9285423.06,4788088.317,371212126.7,353348150.2,356701806.2,182989173.8,169870480.3,174729072.3,318469754.9,296783823.5,287528697.6,170493101.9,159543740,186805048
156.0763,0.857,DL-Histidine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H9 N3 O2,,Full match,No results,Full match,Full match,-2.92,155.06902,40543300.02,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,7578.521858,40367.85846,183017.1111,305761.4854,3377093.665,3254812.272,3357677.667,5243854.167,6660440.242,4526180.167,7589231.763,3928220.512,5080008.245,40543300.02,36504891.87,39960140.36,2004991.802,2410629.533,2049921.73,14733859.12,12985994.17,12644472.87,3916261.502,4513862.937,3276078.606,23316949.74,26344041.73,15630253.33
132.10148,1.279,DL-Isoleucine\DL-Leucine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H13 N O2,,Not the top hit,No results,Not the top hit,Full match,-3.21,131.09421,1876763764,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,1483088.752,1504665.187,1876763764,1524460723,112735486.2,96711621.37,88156256.57,166959573.3,168822862.1,137236103.7,182024451.5,95407963.91,145527998.4,100687547.8,207992840.4,172459695.8,44497077.97,50809004.05,46463256.81,62747360.59,80837114.77,62367392.71,127411065,118644064.2,87749693.48,234673369.9,334821646.2,216276698.5
147.11236,0.853,DL-Lysine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H14 N2 O2,,Full match,No results,Full match,Full match,-3.03,146.10509,67970412.62,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,22548.87655,5878.795423,32537.48983,212689.2439,27127195.51,24399753.25,22950092.31,45716224.45,54997521.43,38396038.64,16505996.46,14875346.71,13834836.05,67970412.62,41617918.3,43093263.59,21079760.81,26746186.79,21365937.78,56686292.88,59784665.98,58147893.5,15663554.57,15961550.64,13373241.61,25811974.9,30482179.4,427281.8023
150.0579,1.273,DL-Methionine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H11 N O2 S,,Full match,No results,Full match,Full match,-2.85,149.05062,545255791.3,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,65258.48672,115279.0791,545255791.3,370005007.6,3987288.167,3108943.342,2733813.443,12959654.87,18986751.59,14815990.1,1949009.612,2014301.082,2227434.112,20505316.63,19344946.47,22673170.29,9800946.395,8966486.291,9413824.994,2399125.04,2608380.801,2390528.892,2044151.928,1816862.014,1259835.15,2454025.751,2968713.922,2379246.004
166.08563,1.049,DL-Phenylalanine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C9 H11 N O2,,Full match,No results,Full match,Full match,-3.78,165.07836,11552608.63,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,19365.41728,27536.21703,355623.9103,245209.3076,10260652.72,8479848.13,9112120.274,3372368.425,2293292.907,2799660.374,9522452.573,6007236.274,6027716.092,5752346.854,5470222.95,4530903.636,613142.081,476789.4703,753401.4868,7472877.217,8159836.98,6982508.883,1956252.162,2435406.827,1881706.157,9441088.984,11552608.63,9014892.886
116.07029,0.978,DL-Proline,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H9 N O2,,Full match,No results,Full match,Full match,-2.72,115.06302,335143427.6,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,3032048.8,500983.4124,533677.048,292833.28,52192874.7,45679689.37,55647840.09,52800517.41,64903458.94,38541905.52,101026767.7,65082209.85,70587652.89,335143427.6,245027350.5,277991464.4,27675442.77,30348125.73,28178562.43,202745683.9,205361832.4,189784033,49555464.82,54508488.21,41469305.82,171830883.4,184543628.4,136577251.1
130.04954,0.958,DL-Pyroglutamic acid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H7 N O3,,Full match,No results,Full match,Full match,-3.49,129.04214,947214167.1,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,1664517.047,1504190.942,445010739.9,459900524,881180834.5,909468055.4,947214167.1,555366934.5,488377880.7,541960825,678567119,761980016.3,664994517.5,328464792.9,259456439.6,248646911.1,768951763.2,777701999.5,779487664.7,555051681.9,541445893.9,580667080.9,683575105,609485945.5,581929793.6,357467925.8,316111442.4,345197452.1
118.08591,0.996,DL-Valine\DL-Norvaline,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H11 N O2,,Full match,No results,Full match,Full match,-2.91,117.07864,639031371.1,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,8286568.501,7885552.028,10388997.89,13113836.78,505553633.6,456863475.9,504040636,604495958.9,639031371.1,547124439.2,186466556.8,123558796,150097597.7,190105458.7,223557535.7,215447226.3,120973748.3,107471188.2,111174781.3,131220599.4,139809938.2,114299366.1,142947439.5,121848204.6,114719416.2,195481050,222607147.2,171270996.4
